Number,Arabic,English
5167,ست عشري,hexadecimal (adj)
5168,تحويل ست عشري,hexadecimal conversion
5169,سبات,hibernate
5170,ملف مخفي,hidden file
5171,خط مخفي,hidden line
5172,سطح مخفي,hidden surface
5173,يخفي,hide (v)
5174,تراتبي,hierarchical (adj)
5175,نسق المعطيات التراتبية (HDF),Hierarchical Data Format
5176,نظام ملفات تراتبي(HFS),Hierarchical File System
5177,قائمة [خيارات] تراتبية,hierarchical menu
5178,نموذج تراتبي,hierarchical model
5179,شبكة تراتبية,hierarchical network
5180,توجيه تراتبي,hierarchical routing
5181,تراتب,hierarchy
5182,متاحية عالية,high availability
5183,بايت عال,high byte
5184,صوت عالي السعة (HCV),High Capacity Voice
5185,لون عالي الدقة,high color
5186,تفاوت عال,high contrast
5187,خط رقمي لمشترك بمعدل [نقل] معطيات عال (HDSL),High data rate Digital Subscriber Line
5188,تردد عال,high frequency
5189,[بروتوكول] التحكم العالي المستوى في وصلة معطيات (HLDLC),High Level Data Link Control
5190,لغة عالية المستوى,high level language
5191,ذاكرة عليا,high memory
5192,بت عالي المرتبة,high order bit
5193,مرشح تمرير عال (HPF),High Pass Filter
5194,نظام ملفات عال الأداء (HPFS),High Performance File System
5195,واجهة متوازية عالية الأداء (HPPI),High Performance Parallel Interface
5196,ميز عال,high resolution
5197,سرعة عالية,high speed
5198,نفاذ رزمي عالي السرعة في الوصلة الهابطة (HSDPA),High Speed Downlink Packet Access
5199,طابعة عالية السرعة,high speed printer
5200,نفاذ رزمي عالي السرعة في الوصلة الصاعدة (HSDPA),High Speed Uplink Packet Access
5201,تقانة عالية,high technology
5202,مجموعة دارات كثية الاستعمال,high usage circuit group
5203,نبضة كهرطيسية في الارتفاعات العالية (HEP),high-altitude electromagnetic pulse
5204,قرص عالي الكثافة,high-density disk
5205,إطار توزيع عالي التردد,high-frequency distribution frame
5206,تهيئة عالية المستوى,high-level format
5207,توجيه عالي الأداء (HPR),High-Performance Routing
5208,قناة عالية السرعة,high-speed channel
5209,معطيات مبتدلة بدارات عالية السرعة (HSC SD),High-Speed Circuit Switched Data
5210,طريق سريع,highway
5211,اختطاف,hijacking
5212,[المعيار] HiperACCESS,HiperACCESS
5213,[المعيار] HiperMAN,HiperMAN
5214,مخطط التكرار,histogram
5215,عداد الإصابات,hit counter
5216,معدل الإصابات,hit rate
5217,[مفتاح] HKEY,HKEY
5218,[الواجهة] HLLAPI,HLLAPI
5219,[تقانة] HMOS,HMOS
5220,مسك (وقف),hold
5221,مجال الإقفال الترددي,hold-in frequency range
5222,مدة المسك,holding time
5223,مصور تجسيمي,hologram
5224,خزن معطيات ذو مصور تجسيمي,holographic data storage
5225,خزن ذو مصور تجسيمي,holographic storage
5226,تصوير تجسيمي,holography
5227,موطن,home
5228,عنوان الموطن,home address
5229,وكيل الموطن,home agent
5230,حاسوب منزل,home computer
5231,دليل الموطن,home directory
5232,شبكة منزلية ، شبكة الموطن (HM),Home Network
5233,مكتب منزل، مكتب الموطن,home office
5234,صفحة الموطن,home page
5235,متماثل زمنيا,homochronous
5236,بيئة متجانسة,homogeneous environment
5237,تضميم متجانس,homogeneous multiplexing
5238,شبكة متجانسة,homogeneous network
5239,إجازة,homologation
5240,خطاف,hook
5241,مفتاح الخطاف,hook switch
5242,[نظام صوت] هوت و هولر,hoot and holler
5243,عدد القفزات,hop count
5244,قفاز,hopper
5245,أفقي,horizontal (adj)
5246,ميز أفقي,horizontal resolution
5247,معدل المسح الأفقي,horizontal scan rate
5248,تريك أفقي,horizontal scrolling
5249,جدولة أفقية,horizontal tabulation
5250,مضيف,host
5251,موائمة مضيف,host adapter
5252,عنوان المضيف,host address
5253,حاسوب مضيف,host computer
5254,لغة المضيف,host language
5255,اسم المضيف,host name
5256,انقضاء مهلة [استجابة] المضيف,host timed out
5257,مضيف لا يمكن الوصول إليه,host unreachable
5258,مقسم فرعي خاص مضيف,hosted PBX
5259,بروتوكول مضيف-مضيف,host-host protocol
5260,معرف المضيف,hostid
5261,تضييف,hosting
5262,إحضان ساخن,hot docking
5263,إصلاح ساخن,hot fix
5264,مفتاح ساخن,hot key
5265,خط ساخن,hot line
5266,وصلة ساخنة,hot link
5267,مقبس ساخن,hot plug
5268,قبس ساخن,hot plugging
5269,[بروتوكول] توجيه دائب,hot potato routing
5270,إعادة تشغيل ساخنة,hot restart
5271,موقع ساخن,hot site
5272,قطعة تبديل ساخنة,hot spare
5273,بقعة ساخنة,hot spot
5274,[وضعية] تأهب ساخن,hot standby
5275,إبدال ساخن,hot swap
5276,[متصفح],HotJava HotJava
5277,قائمة ساخنة,hotlist
5278,إدارة بيئة العمل,housekeeping
5279,[برمجية] Hover,Hover
5280,طواف,hover
5281,[نظام] HP/UX,HP/UX
5282,(لغة تأشير نص ترابطي)HTML,HTML (HyperText Markup Language)
5283,رماز ألوان HTML,HTML color codes
5284,وثيقة HTML,HTML document
5285,محرر HTML,HTML editor
5286,أمارة HTML,HTML tag
5287,خدمة صلاحية HTML,HTML validation service
5288,[بروتوكول] HTTP,HTTP
5289,مخدم HTTP,HTTP server
5290,رموز حالة HTTP,HTTP status codes
5291,(ناطر بروتوكول نقل النصوص التابطية) HTTPd,HTTPd (Hypertext Transfer Protocol daemon)
5292,[بروتوكول] HTTPS,HTTPS
5293,مجمع،قب (أقباب),hub(s)
5294,ترميز هوفمان,Huffman coding
5295,واجهة بين الحاسوب والإلنسان (HCI),Human Computer Interface
5296,الهندسة البشرية,human engineering
5297,واجهة بين الآلة والإلنسان (HMI),Human-Machine Interface
5298,ملاحقة,hunt
5299,ملاحقة,hunting
5300,هجين,hybrid (adj)
5301,كبل هجين,hybrid cable
5302,دارة هجينة,hybrid circuit
5303,شبكة اتصالات هجينة,hybrid communications network
5304,حاسوب هجين,hybrid computer
5305,مربط هجين,hybrid connector
5306,قارن هجين,hybrid coupler
5307,قرص هجين,hybrid disk
5308,كبل هجين محوري-ضوئي,hybrid fiber coaxial cable
5309,[نظام] KTS هجين,hybrid KTS
5310,دارة صغرية هجينة,hybrid microcircuit
5311,نمط هجين,hybrid mode
5312,شبكة هجينة,hybrid network
5313,توجيه هجين,hybrid routing
5314,طيف منثور هجين,hybrid spread spectrum
5315,مقسم فرعي خاص هجين ب TDM/IP,TDM/IP hybrid PBX
5316,[برمجية] HyperCard,HyperCard
5317,وصلة ترابطية,hyperlink
5318,وسائط ترابطية,hypermedia
5319,فضاء ترابطي,Hyperspace
5320,نص ترابطي,hypertext
5321,لغة تأشير نص ترابطي (HTML),HyperText Markup Language
5322,بروتوكول نقل نصوص ترابطية (HTTP),HyperText Transfer Protocol
5323,ناطر بروتوكول نقل النصوص الترابطية (HTTPd),HyperText Transfer Protocol daemon
5324,الجيل التالي من HTTP (HTTP-NG),HyperText Transport Protocol Next Generation
5325,دفقة فائقة,hyperthreading
5326,دفقة فائقة,hyper-threading
5327,[تقنية] HyperTransport,HyperTransport
5328,[مخدم] Hyper-Wave,Hyper-Wave
5329,واصلة,hyphen
5330,برنامج وضع الوصالات,hyphenation program
5331,بطاء,hysteresis
5332,عنوان دخل/خرج,I/O address
5333,مقيد ب الدخل/الخرج,I/O bound
5334,صوان دخل/خرج,I/O buffer
5335,مسرى دخل/خرج,I/O bus
5336,بطاقة دخل/خرج,I/O card
5337,تجهيزة دخل/خرج,I/O device
5338,واجهة دخل/خرج,I/O interface
5339,مقاطعة دخل/خرج,I/O interrupt
5340,منفذ دخل/خرج,I/O port
5341,نظام دخل/خرج,I/O system
5342,[سلطة] إيانا IANA,IANA
5343,منزلقة [على شكل],I I-beam
5344,حاسوب شخصي [متوافق مع] IBM,IBM PC
5345,[شركة] آيكان ICANN,ICANN
5346,[هندسة] I-CASE,I-CASE
5347,[بروتوكول] ICMP,ICMP
5348,قونة,icon
5349,(إلكترونيات تجهيزات متكاملة) IDE,IDE (Integrated Dev ice Electronics)
5350,(خوارزمية دولية لتعمية المعطيات) IDEA,IDEA (International Data Encryption Algorithm)
5351,معرف، تعرف، تعريف,identification
5352,رمز المعرف,identification code
5353,معلومات التعريف,ident ification information
5354,معرف,identifier
5355,هوية,identity
5356,حالة انتظار,idle
5357,محرف راحة,idle character
5358,رمز راحة,idle code
5359,مقاطعة الراحة,idle interrupt
5360,حالة راحة,idle state
5361,زمن الراحة,idle time
5362,ضجيج القناة في وضع الراحة,idle-channel noise
5363,نهاية خط في وضع الراحة,idle-line termination
5364,[نظام] IDMS,IDMS
5365,[خط] ISDL,IDSL
5366,[معهد] IEEE,IEEE
5367,[مجموعة] IESG,IESG
5368,[فريق] IETF,IETF
5369,العبارة الشرطية if,if statement
5370,[أمارة] iFrame,iFrame
5371,[العبارة الشرطية] if-then-else,if-then-else
5372,غير صالح,illegal (adj)
5373,محرف غير صالح,illegal character
5374,عملية غير صالحة,illegal operation
5375,إضاءة,illumination
5376,صورة,image
5377,هوائي تخيلي,image antenna
5378,التقاط صورة,image capture
5379,مطابقة ألوان صورة (ICM),Image Color Matching
5380,ضغط الصورة,image compression
5381,محلل صور,image dissector
5382,محرر صور,image editor
5383,تحسين الصورة,image enhancement
5384,ترويسة ملف الصورة,image file header
5385,تشكيل الصورة,image formation
5386,خريطة صورة,image map
5387,معالجة الصورة,image processing
5388,صورة تخيلية,imagery
5389,تداول الصور,imaging
5390,[بروتوكول] IMAP,IMAP
5391,[بروتوكول IMAP4,IMAP4
5392,نفاذ فوري,immediate access
5393,نمط الإنترنت (الشابكة),i-Mode
5394,طابعة طرقية,impact printer
5395,ممانعة,impedance
5396,مطابقة ممانعات,impedance matching
5397,تنجيز,implementation
5398,إشعار ضمني بالازدحام (ICN),Implicit Congestion Notification
5399,يستورد,import (v)
5400,خدمة جوال محسنة (IMTS),Improved Mobile Telephone Service
5401,تلفزة محسنة الدقة (IDTV),Improved-Definition TeleVision
5402,نبضة,impulse
5403,تحريض نبضي,impulse excitation
5404,ضجيج نبضي,impulse noise
5405,استجابة نبضية,impulse response
5406,نافذة غير نشطة,inactive window
5407,ضمن النطاق,in-band (adj)
5408,تشوير ضمن النطاق,in-band signaling
5409,صندوق [البريد] الوارد,inbox
5410,عرضي,incident (adj)
5411,ضوء وارد,incident light
5412,تجهيزة إشعاع عرضي,incidental-radiation device
5413,مضاه مضمن,in-circuit emulator
5414,موجه INCLUDE,INCLUDE directive
5415,نفاذ وارد,incoming access
5416,معرف مكالمة واردة (ICI),Incoming Call Identification
5417,زايدة,increment
5418,نسخ احتياطي تزايدي,incremental backup
5419,نموذج تزايدي,incremental model
5420,تعديل طوري تزايدي,incremental phase modulation
5421,يثلم [النص],indent (v)
5422,تثليم,indentation
5423,فهرس، دليل,index
5424,انخفاض [غير مرغوب] في القرينة dip,index dip
5425,ملف فهرس,index file
5426,علامة الدليل,index mark
5427,قرينة الانكسار,index of refraction
5428,سجل الدليل,index register
5429,عنوان مفهرس,indexed address
5430,ملف مفهرس,indexed file
5431,بحث مفهرس,indexed search
5432,طريقة نفاذ تتابعي مفهرس (ISAM),Indexed Sequential Access Method [ISAM]
5433,بدئية إشعار,indication primitive
5434,مؤشر,indicator
5435,تحريضية,inductance
5436,تحريض,induction
5437,ملف تحريض,induction coil
5438,اقتران تحريضي,inductive coupling
5439,محرض,inductor
5440,يستدل,infer (v)
5441,استدلال,inference
5442,محرك استدلال,inference engine
5443,برمجة استدلالية,inference programming
5444,قاعدة استدلالية,inference rule
5445,[المعيار] InfiniBand,InfiniBand
5446,حلقة لانهائية,infinite loop
5447,بيني,infix
5448,تدوين بيني,infix notation
5449,طريق معلومات فائق السرعة,infobahn
5450,معلوماتية,informatics
5451,معلومات,information
5452,جهاز معلومات,information appliance
5453,ضمان المعلومات,information assurance
5454,مركز معلومات,information center
5455,جريان معلومات,information flow
5456,إخفاء المعلومات,information hiding
5457,طريق معلومات سريع,information highway
5458,سلامة المعلومات,information integrity
5459,إدارة المعلومات,information management
5460,رزمة معلومات,information packet
5461,معالجة المعلومات,information processing
5462,مركز معالجة المعلومات (IPC),Information Processing Center
5463,معدل [نقل] المعلومات,information rate
5464,إدارة موارد المعلومات (IRM),Information Resource Management
5465,استحضار المعلومات,information retrieval
5466,علم المعلومات,information science
5467,أمن المعلومات,informatied security
5468,فاصل معلومات,information separator
5469,خدمة معلومات,information service
5470,مصدر معلومات,information source
5471,بنية معلومات,Information structure
5472,طريق معلومات فائق السرعة,information superhighway
5473,نظام معلومات,information system
5474,تقانة المعلومات (المعلوماتية) (IT),Information Technology
5475,نظرية المعلومات,information theory
5476,نقل المعلومات,information transfer
5477,نمط نقل المعلومات,information transfer mode
5478,معدل نقل المعلومات,information transfer rate
5479,مستودع معلومات,information warehouse
5480,حرب معلومات,information warfare
5481,[موقع] infosec,infosec
5482,تحت الأحمر,infrared (adj)
5483,رابطة المعطيات [المنقولة بالأشعة] تحت الحمراء (IrDA),Infrared Data Association (IrDA)
5484,منفذ الأشعة تحت الحمراء,infrared port
5485,بنية أساسية,infrastructure
5486,خطأ متأصل,inherent error
5487,يرث,inherit (v)
5488,وراثة ، توريث,inheritance
5489,خطأ موروث,inherited error
5490,إشارة منع,inhibiting signal
5491,ملف INI INI,INI file
5492,[ملف] INIT,INIT
5493,تحميل برنامج ابتدائي,initial program load
5494,حالة ابتدائية,initial state
5495,استبداء,initialization
5496,متوالية استبداء,initialization string
5497,متجه استبداء,initialization vector
5498,يستبدئ,initialize (v)
5499,بادئ,initiator
5500,حقن,injection
5501,ديود للحقن اللي زري (ILD),Injection Laser Diode
5502,خرطوشة حبر,ink cartridge
5503,طابعة انفثة للحبر,ink jet printer
5504,[طابعة] نافثة للحبر,inkjet
5505,متضمن,inline (adj)
5506,رماز متضمن,inline code
5507,معالجة متضمنة,in-line processing
5508,ضم داخلي,inner join
5509,يلقح,inoculate (v)
5510,عقدة دليل,inode
5511,دخل,input
5512,صوان دخل,input buffer
5513,قناة دخل,input channel
5514,معطيات دخل,input data
5515,تجهيزة دخل,input device
5516,سجل دخل,input register
5517,دفقة دخل,input stream
5518,دخل/خرج,input/output
5519,تحرير إدراج,insert editing
5520,مفتاح إدراج,Insert key
5521,نمط الإدراج,insert mode
5522,كسب الإدراج,insertion gain
5523,فقد الإدراج,insertion loss
5524,داخل منشأة,inside plant
5525,تفتيش,inspection
5526,ينصب، يركب,install (v)
5527,تنصيب، تركيب,installation
5528,منصب,installer
5529,مستنسخ,instance
5530,متغير مستنسخ,instance variable
5531,تراسل آني,instant messaging
5532,[برمجية] Instant Messenger,Instant Messenger
5533,يستنسخ,instantiate (v)
5534,استنساخ,instantiation
5535,إقلاع آني,instant-on
5536,معهد مهندسي الكهرباء والإلكترونيات (IEEE),Institute of Electrical and Electronics Engineers
5537,تعليمة,instruction
5538,دورة تعليمة,instruction cycle
5539,نسق التعليمة,instruction format
5540,مؤشر إلى تعليمة (IP),Instruction Pointer
5541,سجل تعليمة (IR),Instruction Register
5542,مجموعة تعليمات,instruction set
5543,مدة التعليمة,instruction time
5544,تعليمات,instructions
5545,منظومة الهبوط بالأجهزة (ILS),Instrument Landing System
5546,عازل,insulator
5547,عدد صحيح,integer
5548,نوع العدد الصحيح,integer type
5549,مودم متكامل,integral modem
5550,متكامل,integrated (adj)
5551,تجهيزة نفاذ متكاملة (IAD),Integrated Access Device
5552,دارة متكاملة (IC),Integrated Circuit
5553,بيئة تطوير متكاملة (IDE),Integrated Development
5554,[واجهة] إلكترون يات تجهيزة متكاملة (IDE),Integrated Device Electronics
5555,شبكة رقمية متكاملة (IDN),Integrated Digital Network
5556,تراسل متكامل,integrated messaging
5557,دارة ضوئية متكاملة (IOC),Integrated Optical Circuit
5558,بصريات متكاملة,integrated optics
5559,بيئة متكاملة لدعم المشاريع (IPSE),Integrated Project Support
5560,الشبكة الرقمية للخدمات المتكاملة (ISDN),Integrated Services Digital Network
5561,برمجيات متكاملة,integrated software
5562,حزمة برمجيات متكاملة,integrated software package
5563,محطة متكاملة,integrated station
5564,منظومة متكاملة,integrated system
5565,مطراف للصوت والمعطيات المتكاملين (IVDT),Integrated Voice and Data Terminal
5566,شبكة متكاملة,integrating network
5567,تكامل، مكاملة,integration
5568,اختبار التكامل,integration testing
5569,مكامل,integrator
5570,سلامة,integrity
5571,[شركة] إنتل,Intel
5572,نواة من إنتل,Intel core
5573,ملكية فكرية (IP),Intellectual Property
5574,ذكاء,intelligence
5575,ذكي,intelligent
5576,وكيل ذكي,intelligent agent
5577,كبل ذكي,intelligent cable
5578,قاعدة معطيات ذكية,intelligent database
5579,مجمع ذكي,intelligent hub
5580,شبكة ذكية,intelligent network
5581,بروتوكول تطبيق شبكة ذكية (INAP),Intelligent Network Application
5582,محيطية ذكية,intelligent peripheral
5583,مطراف ذكي,intelligent terminal
5584,منظومة نقل ذكي (ITS),Intelligent Transportation System
5585,لغط مفهوم,intelligible crosstalk
5586,[فأرة] IntelliMouse,IntelliMouse
5587,[تقانة] IntelliSense,IntelliSense
5588,[مؤسسمة] INTELSAT,INTELSAT
5589,شدة,intensity
5590,شدة [الألوان] الأحمر-الأخضر-الأزرق (IRGB),Intensity Red Green Blue
5591,تفاعل,interaction
5592,تفاعلي,interactive
5593,نمط تفاعلي,interactive mode
5594,معالجة تفاعلية,interactive processing
5595,خدمة تفاعلية,interactive service
5596,جلسة تفاعلية,interactive session
5597,فيديو تفاعلي,interactive video
5598,إجابة صوتية تفاعلية (IVR),Interactive Voice Response
5599,فجوة بين الكتل,interblock gap
5600,تبادل,interchange
5601,دارة تبادل,interchange circuit
5602,تبادلية (قابلية التبادل),interchangeability
5603,مرابط قابلة للتبادل,interchangeable connectors
5604,اتصالات داخلية,intercom
5605,ترابط,interconnection
5606,ترابطية,interconnectivity
5607,مجال بين الأرقام,interdigit interval
5608,واجهة,interface
5609,لغة تعريف الواجهات (IDL),Interface Definition Language
5610,تجهيزة واجهة,interface device
5611,معالج رسائل واجهي (IMP),Interface Message Processor
5612,تداخل,interference
5613,إصدار تداخلي,interference emission
5614,مرشح تداخل,interference filter
5615,نسبة التداخل إلى الضجيج (INR),Interference-to-Noise Ratio
5616,كفاف (محيط) التداخل,interfering contour
5617,مقياس التداخل,interferometer
5618,قياس التداخل,interferometry
5619,بروتوكول العبارة الداخلية (IGP),Interior Gateway Protocol
5620,بروتوكول داخلي,interior protocol
5621,تحابك,interlace
5622,مسح تحابكي,interlace scanning
5623,تحابك,interlacing
5624,خدمة بين منطقتي LATA,interLATA service
5625,يشذر,interleave (v)
5626,ذاكرة مشذرة,interleaved memory
5627,تشذير,interleaving
5628,دارة [جذعية] بينية,interlocal trunk
5629,يعرقل,interlock (v)
5630,المتوسط,intermediate
5631,إطار توزيع متوسط (IDF),Intermediate Distribution Frame
5632,تردد متوسط,intermediate frequency
5633,لغة متوسطة,intermediate language
5634,شبكة متوسطة,intermediate network
5635,منظومة متوسطة,intermediate system
5636,نقطة تشوير للترجمة المتوسطة (ITSP),Intermediate Translation Signaling
5637,متقطع,intermittent
5638,خطأ متقطع,intermittent error
5639,خلل غير متقطع,intermittent fault
5640,منطقة خدمة متقطعة,intermittent service area
5641,تشتت بين الأنماط,intermodal dispersion
5642,تشوه نطي,intermodal distortion
5643,تعديل بيني,intermodulation
5644,تشوه التعديل البيني,intermodulation distortion
5645,ضجيج التعديل البيني,intermodulation noise
5646,ناتج التعديل البيني,intermodulation product
5647,انحياز داخلي,internal bias
5648,مسرى داخلي,internal bus
5649,أمر داخلي,internal command
5650,حدث داخلي,internal event
5651,ذاكرة داخلية,internal memory
5652,مودم داخلي,internal modem
5653,مختطة داخلية,internal schema
5654,فرز داخلي,internal sort
5655,الزمن الذري الدولي (TAI),inTernational Atomic tIme
5656,هتف دولي مباشر بعيد (IDDD),International Direct Distance Dialing
5657,اللجنة الكهرتقنية الدولية (IEC),International Electrotechnical Commission
5658,الاتحاد الدولي لمعاجلة المعلومات (IFIP),International Federation of Information Processing
5659,عبارات دولية,international gateways
5660,النظام الدولي للوحدات (ISU),International System of Units
5661,الاتحاد الدولي الاتصالات (ITU),International Telecommunication
5662,تدويل,internationalization
5663,ملاح الإنترنت (الشابكة),internaut
5664,الإنترنت (الشابكة),Internet
5665,تجهيزة نفاذ إلى الإنترنت (الشابكة) (IAD),Internet Access Device
5666,حساب على الإنترنت (الشابكة),Internet account
5667,جهاز الإنترنت (الشابكة),Internet appliance
5668,مجلس بنيان الإنترنت (الشابكة) (IAB),Internet Architecture Board
5669,سلطة إسناد أرقام الإنترنت (الشابكة) (IANA),Internet Assigned Numbers
5670,فقار الإنترنت (الشابكة),Internet backbone
5671,بث عبر الإنترنت (الشابكة),Internet broadcasting
5672,متصفح الإنترنت (الشابكة),Internet browser
5673,كبل الإنترنت (الشابكة),Internet cable
5674,خابية الإنترنت (الشابكة),Internet cache
5675,بروتوكول خابية الإنترنت (الشابكة,(ICP) Internet Cache Protocol
5676,مزود المحتوى على الإنترنت (الشابكة) (ICP),Internet Content Provider
5677,بروتوكول رسالة التحكم في الإنترنت (الشابكة),Protocol Message Control Internet
5678,[شركة] إسناد أسماء وأرقام الإنترنت (الشابكة,Internet Corporation for Assigned Names and Numbers
5679,مجموعة التوجيه الهندسي للإنترنت (للشابكة),Internet Engineering Steering Group
5680,فريق العمل الهندسي للإنترنت(للشابكة) (IETF),Internet Engineering Task Force
5681,مقاسم الإنترنت (الشابكة) (IX),Internet Exchange
5682,[برنامج] مستكشف الإنترنت (الشابكة) (IE),Internet Explorer
5683,فكس بالإنترنت (بالشابكة),Internet fax
5684,صفوف تسيسية للإنترنت (للشابكة,(IFC) Internet Foundation Classes
5685,عبارة الإنترنت (الشابكة),Internet gateway
5686,بروتوكول عضوية مجموعة على الإنترنت (الشابكة) (IGMP),Internet Group Membership Protocol
5687,مخدم معلومات الإنترنت (الشابكة) (IIS),Internet Information Server
5688,تبادل مفاتيح الإنترنت (الشابكة) (IKE),Internet Key Exchange
5689,بروتوكول النفاذ إلى رسائل الإنترنت (الشابكة) (IMAP),Protocol Message Control Internet
5690,(مركز معلومات الشبكة الإنترنت (الشابكة (InterNIC),Internet Network Information Center
5691,هاتف بالإنترنت (بالشابكة),Internet phone
5692,بروتوكول الإنترنت (الشابكة,(IP) Internet Protocol
5693,عنوان بروتوكول الإنترنت (الشابكة) (IPA),Internet Protocol Address
5694,تلفزة وفق بروتوكول الإنترنت (الشابكة) (IPTV),Internet Protocol TeleVision
5695,فريق عمل بحوث الإنترنت (الشابكة) (IRTF),Internet Research Task Force
5696,أمن الإنترنت (الشابكة),Internet security
5697,مزود خدمة الإنترنت (الشابكة),(ISP) Internet Service Provider
5698,مجتمع الإنترنت (الشابكة),Internet society
5699,(هاتف بالإنترنت (بالشابكة,Internet telephone
5700,هتف بالإنترنت (بالشابكة),Internet telephony
5701,تلفزة بالإنترنت (الشابكة),Internet television
5702,عصر الإنترنت (الشابكة),Internet time
5703,تلفاز بالإنترنت (الشابكة),Internet TV
5704,فيديو بالإنترنت (بالشابكة),Internet video
5705,الإنترنت2 (الشابكة2),Internet2
5706,بين الشبكات,internetwork (adj)
5707,[بروتوكول] التبادل الرزمي بين الشبكات (IPX),Internetwork Packet eXchange
5708,تشبيك بيني,Internetworking
5709,[مركز] InterNIC,InterNIC
5710,خط رئيسي بين مكتبين,interoffice trunk
5711,تشغيلية بينية,interoperability
5712,استكمال داخلي,interpolation
5713,خط رئيسي بين موضعين,interposition trunk
5714,لغة مفسرة,interpreted language
5715,مفسر,interpreter
5716,اتصال بين إجرائيتين (IPC),InterProcess Communication
5717,مقاطعة,interrupt
5718,أولوية مقاطعة,interrupt priority
5719,[خط] طلب مقاطعة (IRQ),Interrupt ReQuest
5720,متجه المقاطعة,interrupt vector
5721,موجة مستمرة مقطعة,interrupted continuous wave
5722,مقاطعة,interruption
5723,تقاطع,intersect
5724,خلالي,interstitial (adj)
5725,تداخل بين الرموز,intersymbol interference
5726,خط رئيسي بين مكتبي تحصيل,intertoll trunk
5727,مجال,interval
5728,إعلان ضمن النص,in-text advertising
5729,داخل، ضمن,intra-
5730,جريان داخلي,intraflow
5731,ترميز ضمن إطار,intraframe coding
5732,خدمة ضمن منطقة,LATA intraLATA service
5733,تشويه نمطي,intramodal distortion
5734,إنترانت (شبكة داخلية),intranet
5735,برمجيات شابكة داخلية/إنتانت,intraware
5736,ذات,intrinsic
5737,دخيل,intruder
5738,تدخل,intrusion
5739,كشف التدخل,intrusion detection
5740,نظام كشف التدخل (IDS),Intrusion Detection System
5741,باطل، غير صالح,invalid
5742,[قائمة] جرد,inventory
5743,مضمم عكسي,inverse multiplexer
5744,تضميم عكسي,inverse multiplexing
5745,تضميم عكسي على ATM,inverse multiplexing over ATM
5746,إظهار معكوس [الإلضاءة],inverse video
5747,ملف معكوس,inverted file
5748,عاكس,inverter
5749,يستدعي,invoke (v)
5750,خدمة هاتفية واردة واسعة النطاق (INWATS),INward Wide-Area Telephone Service
5751,غلاف تشرد,ionosphere
5752,عنوان IP,IP address
5753,خدمة هاتفية ب IP مع إظهار نصي,IP captioned telephone service
5754,[خدمة] مقسم مركزي ب IP,IP Centrex
5755,برقية معطيات ب IP,IP datagram
5756,مرشح ب IP,IP filter
5757,بث متعدد الوجهات ب IP,IP multicast
5758,بث متعدد الوجهات ب IP,IP multicasting
5759,منظومة فرعية متعددة الوسائط ب IP(IMS),IP Multimedia Subsystem
5760,شبكة ب IP,IP network
5761,مقسم فرعي خاص ب IP,IP PBX
5762,هاتف ب IP,IP phone
5763,منفذ IP,IP port
5764,موجه ب IP,IP router
5765,أمن ب IP,IP security
5766,خداع ب IP,IP spoofing
5767,ابتدال ب IP,IP switching
5768,هتف ب IP,IP telephony
5769,تغليف ب IP,IP tunneling
5770,[مقسم] IPBX,IPBX
5771,(اتصال بين إجرائيتين) IPC,IPC (Inter-Process Communication)
5772,[نافعة] IPCONFIG,IPCONFIG
5773,ترحيل أطر ممكن ب IP (IPFR),IP-enabled Frame Relay
5774,[مقسم] PBX ممكن IP (IPPBX),IP-enabled PBX
5775,آيفون,iPhone
5776,[برنامج] iPhoto,iPhoto
5777,[جيل جديد من IP]IPng,IPng
5778,آي بود,iPod
5779,أمن ب IP,IPSec
5780,[تلفزة] IPTV,IPTV
5781,الإصدار الرابع ل IP,IPv4
5782,عنوان IPv4,IPv4 address
5783,الإصدار السادس ل IP,IPv6
5784,[بروتوكول] IPX/SPX,IPX/SPX
5785,[رابطة] IrDA,IrDA
5786,[شركة] Iridium ,Iridium
5787,(إدارة موارد معلومات) IRM,IRM (Information Resource Management)
5788,تعمية لاعكوسة,irreversible encryption
5789,[فريق] IRTF,IRTF
5790,[مخدم] ISA,ISA server
5791,(طريقة النفاذ التتابعي المفهرس) ISAM,ISAM (Indexed Seque ntial Access
5792,[شبكة] ISDN,ISDN
5793,مودم ISDN,ISDN modem
5794,موجه ISDN,ISDN router
5795,موائمة مطراف ISDN,ISDN terminal adapter
5796,[المعيار] ISO 9660,ISO 9660
5797,[متمع] ISOC,ISOC
5798,متساوي المدد,isochronous
5799,رشقي متساوي المدد,isochronous burst (adj)
5800,[المعيار] IsoEnet,IsoEnet
5801,[المعيار] IsoEthernet,IsoEthernet
5802,شبكة ربط معزولة (IBN),Isolated Bonding Network
5803,مستو أرضي معزول,isolated ground plane
5804,نبضة NRZ معزولة,isolated NRZ pulse
5805,نبضة معزولة,isolated pulse
5806,نبضة RZ معزولة,isolated RZ pulse
5807,إظهار متساوي المسافات (متقايس),isometric view
5808,متناح (متماثل المناحي),isotropic
5809,هوائي متناح (متماثل المناحي),isotropic antenna
5810,مشع متناح (متماثل المناحي),isotropic radiator
5811,[المعالج] إيتانيوم,Itanium
5812,يكرر,iterate (v)
5813,تكرار، تكرارة,iteration
5814,ممانعة تكرارية,iterative impedance
5815,إجرائية تكرارية,iterative process
5816,[القطاع] ITU-D,ITU-D
