english,arabic,url,arabic_description
SDK (Software Development Kit),حزمة أدوات تطوير البرمجيات,https://arabicglossary.dubaifuture.ae/ar/words/sdk,مجموعة من أدوات تطوير البرامج الموجودة في حزمة واحدة قابلة للتثبيت، وتسهل هذه الحزمة تطوير تطبيقات من خلال وجود مترجم ومصحح للأخطاء وربما إطار برمجي. عادة ما تكون الحزمة خاصة بمنصة أجهزة ومجموعة أنظمة التشغيل.
Region connection calculus,حساب ارتباط المناطق,https://arabicglossary.dubaifuture.ae/ar/words/region-connection-calculus,يُستخدم للتمثيل المكاني النوعي والاستدلال المنطقي. ويصف المناطق (في الفضاء الإقليدي أو الطوبولوجي) بصورة تجريدية بحسب علاقاتها المحتملة مع بعضها.
Situation calculus,حساب الحالة,https://arabicglossary.dubaifuture.ae/ar/words/situation-calculus,هي منهج منطقي مصمم لتمثيل المجالات الديناميكية والاستدلال عليها. (الذكاء الاصطناعي)
Propositional calculus,حساب القضايا,https://arabicglossary.dubaifuture.ae/ar/words/propositional-calculus,فرع من المنطق الرمزي يتعامل مع القضايا والعلاقات بينها دون فحص محتواها.
Biosensor,حساس بيولوجي,https://arabicglossary.dubaifuture.ae/ar/words/biosensor,جهاز يستخدم كائناً حياً أو جزيئات حيوية، مثل الإنزيمات أو الأجسام المضادة، لرصد وجود مواد كيميائية.
Nanosensors,حساسات التقنية النانوية,https://arabicglossary.dubaifuture.ae/ar/words/nanosensors,حساسات كيميائية أو ميكانيكية تُستَخدم للكشف عن وجود الأنواع الكيميائية والجسيمات النانوية أو مراقبة المعلمات الفيزيائية، ومنها درجة الحرارة، على المقياس النانوي.
Closed Loop,حلقة مغلقة,https://arabicglossary.dubaifuture.ae/ar/words/closed-loop,نظام تحكم مؤتمت يجري فيه تنظيم العمليات أو الآليات عبر التغذية الراجعة.
Evolutionary computation,حوسبة تطورية,https://arabicglossary.dubaifuture.ae/ar/words/evolutionary-computation,فرع من الذكاء الاصطناعي يرتبط بشدة بالذكاء الحوسبي. ويتضمن عديدًا من المشكلات التحسين التجميعي والتحسين المستمر
quantum computing,حوسبة كمومية,https://arabicglossary.dubaifuture.ae/ar/words/quantum-computing,استخدام الظواهر الكمومية، ومنها التراكب والتشابك، لإجراء العمليات الحسابية. وتسمى الحواسيب التي تجري حسابات كمومية حواسيب كمومية. تعتمد الحوسبة الكمومية على مبادئ ميكانيكا الكم وتستغل قدرة الجسيمات دون الذرية على الوجود ضمن حالتين في الوقت ذاته (مثال: 1 و0) ما يزيد كمية البيانات التي تشفرها (على هيئة كيوبت) بصورة هائلة، ويتيح قدرة حاسوبية مذهلة.
Biotic,حيوي,https://arabicglossary.dubaifuture.ae/ar/words/biotic,مرتبط بالكائنات الحية أو ناتج عنها.
Sitemaps,خريطة الموقع,https://arabicglossary.dubaifuture.ae/ar/words/sitemaps,قائمة لصفحات موقع إلكتروني على شبكة الإنترنت.
Existential risk,خطر وجوديّ,https://arabicglossary.dubaifuture.ae/ar/words/existential-risk,خطر يهدد وجود البشرية
Fuel cell,خلية وقود,https://arabicglossary.dubaifuture.ae/ar/words/fuel-cell,خلية كهروكيمائية تولد طاقة كهربائية من الوقود عن طريق تفاعل كهروكيميائي. وتحتاج هذه الخلايا إمداد مستمر من الوقود وعامل مؤكسد، يكون غالبًا الأكسجين، لاستمرار التفاعل وتوليد الكهرباء.
Web servers,خوادم ويب,https://arabicglossary.dubaifuture.ae/ar/words/web-servers,البرمجيات أو الأجهزة المخصصة لتشغيل البرنامج الذي يلبي طلبات العملاء على شبكة الإنترنت العالمية
Bees algorithm,خوارزمية النحل,https://arabicglossary.dubaifuture.ae/ar/words/bees-algorithm,خوارزمية تحاكي سلوك أسراب نحل العسل خلال البحث عن الطعام. وتبحث الخوارزمية في نموذجها الأساسي عن الجوار بالإضافة إلى البحث العشوائي وتستخدم لتعزيز التحسن التوافقي والوظيفي.
Search algorithm,خوارزمية بحث,https://arabicglossary.dubaifuture.ae/ar/words/search-algorithm,هي أي خوارزمية تساعد في عمليات البحث، أي استرداد المعلومات المخزنة في بعض قواعد البيانات أو محسوبة في مساحة البحث، إما بقيم منفصلة أو مستمرة.
Evolutionary algorithm,خوارزمية تطورية,https://arabicglossary.dubaifuture.ae/ar/words/evolutionary-algorithm,خوارزميات تحسين معتمدة على الناس ومستلهمة من التطور الحيوي
Grover’s Algorithm,خوارزمية جروفر,https://arabicglossary.dubaifuture.ae/ar/words/grovers-algorithm,هي طريقة سريعة للبحث في قاعدة بيانات باستخدام حاسوب كمومي.
Genetic algorithm,خوارزمية جينية,https://arabicglossary.dubaifuture.ae/ar/words/genetic-algorithm,منهجية لحل مشكلات الاستمثال المقيَّد وغير المقيد، استنادًا إلى الاصطفاء الطبيعي (محرك التطور البيولوجي).
Rete algorithm,خوارزمية ريتي لمطابقة الأنماط,https://arabicglossary.dubaifuture.ae/ar/words/rete-algorithm,خوارزمية لمطابقة الأنماط لتوليد أنظمة معتمدة على قواعد معينة. طُورت هذه الخوارزمية لتنفيذ العديد من القواعد أو الأنماط بكفاءة على كائنات أو حقائق في قاعدة البيانات. تُستخدم هذه الخوارزمية لتحديد أي قاعدة من قواعد النظام يجب استخدامها بناءً على مخزن البيانات الخاص به.
Shor’s algorithm,خوارزمية شور,https://arabicglossary.dubaifuture.ae/ar/words/shors-algorithm,خوارزمية شور هي خوارزمية حاسوبية كمومية متعددة الحدود لتحليل الأعداد الصحيحة، أي بعبارة أخرى، تحل هذه الخوارزمية المسألة التالية: أوجد العوامل الأولية للعدد N إذا كان N عددًا صحيحًا. طور بيتر شور عالم الرياضيات الأمريكي هذه الخوارزمية في العام 1994. لتحليل عدد صحيح N، على الكمبيوتر الكمومي، تعمل خوارزمية شور في زمن متعدد الحدود، وتستخدم بوابات النظام الكمومية مستخدمة الضرب السريع، ما يدل على أن حساب مسألة عامل العدد الصحيح يسهل حلها بكفاءة على حاسوب كمي.
Nondeterministic algorithm,خوارزمية متغيرة السلوك,https://arabicglossary.dubaifuture.ae/ar/words/nondeterministic-algorithm,خوارزمية تعرض سلوكيات مختلفة عند تشغيلها أكثر من مرة، حتى للمدخلات ذاتها، خلافًا للخوارزمية القطعية.
Simulated annealing,خوارزمية محاكاة التخمير,https://arabicglossary.dubaifuture.ae/ar/words/simulated-annealing,هي خوارزمية احتمالية للبحث عن الحل الأمثل لتابع رياضي معين. وهي طريقة محاكاة رياضية مبدؤها مستمدّ من طريقة التخمير المستخدمة كإحدى طرق معالجة المعادن حراريًا. في طريقة المعالجة هذه تتناوب دورات التبريد البطيء وإعادة التسخين (التخمير) بحيث يتم الوصول إلى وضعية تكون فيها الطاقة أصغرية.
Target Function,دالّة الهدف,https://arabicglossary.dubaifuture.ae/ar/words/target-function,المعادلة التي تغذيها الخوارزمية بالبيانات لحساب التوقعات.
Scooter,دراجة بخارية,https://arabicglossary.dubaifuture.ae/ar/words/scooter,مركبة خفيفة مفتوحة ذات عجلتين يجلس سائقها فوق محرك مغلق ويضع رجليه بالقرب من بعضهما البعض وتلامس قدماه لوحًا سفليًا.
Futures Studies,دراسات مستقبلية,https://arabicglossary.dubaifuture.ae/ar/words/futures-studies,دراسة شاملة ومتعددة التخصصات للاتجاهات الاجتماعية والتقنية والبيئية لمعرفة شكل حياة الناس في المستقبل
Call to Action (CTA),دعوة إلى العمل,https://arabicglossary.dubaifuture.ae/ar/words/call-to-action-cta,تحفيز لتنفيذ شيءٍ ما لتحقيق هدف أو حل مشكلة. جزء من المحتوى يدعو القارئ أو المشاهد أو المستمع لتنفيذ مهمة معينة.
Data assimilation,دمج البيانات,https://arabicglossary.dubaifuture.ae/ar/words/data-assimilation,تقنية تدمج بيانات المراقبة مع مخرجات النموذج الرقمي للوصول إلى تقدير أمثل للحالة المتطورة للنظام
Data fusion,دمج البيانات,https://arabicglossary.dubaifuture.ae/ar/words/data-fusion,استخدام المعرفة من مصادر مختلفة بصورةٍ متناغمة للمساعدة في فهم ظاهرة معينة، وتصنف خوارزميات دمج البيانات إلى ظاهراتية وغير ظاهراتية.
Sensor fusion,دمج بيانات الاستشعار,https://arabicglossary.dubaifuture.ae/ar/words/sensor-fusion,جمع البيانات الحسية أو البيانات المستمدة من مصادر متباينة بحيث تكون المعلومات الناتجة أقل شكًا مما يمكن أن يكون ممكنًا عند استخدام هذه المصادر بشكل فردي.
Suborbital,دون المداري,https://arabicglossary.dubaifuture.ae/ar/words/suborbital,يشير إلى مسار لا يكمل مدارًا كاملاً للأرض أو أي جرم سماوي آخر
DeepMind,ديب مايند,https://arabicglossary.dubaifuture.ae/ar/words/deepmind,شركة ذكاء اصطناعي استحوذت عليها جوجل. ابتكرت شبكة تتعلم لعب ألعاب الفيديو بطريقة تشبه طريقة البشر، وآلةَ تيورنج عصبية (شبكة عصبية قد يسعها الولوج في ذاكرة خارجية كآلة تيورنج العادية)، مؤدية إلى حاسوب يحاكي الذاكرة البشرية قصيرة الأمد.
Decibel (dB),ديسيبل,https://arabicglossary.dubaifuture.ae/ar/words/decibel-db,وحدة قياس مدى ارتفاع الصوت.
Friendly Artificial Intelligence,ذكاء اصطناعي أنيس,https://arabicglossary.dubaifuture.ae/ar/words/friendly-artificial-intelligence,ذكاء اصطناعي نظري عام يؤثر إيجابيًا على البشرية ويمثل جزءاً من أخلاقيات الذكاء الاصطناعي ويقترب من أخلاقيات الآلات. فعلى الرغم من أن أخلاقيات الآلات تركز على كيفية تصرف العنصر الذكي بصورة أنيسة، لكن الذكاء الاصطناعي الأنيس يركز على كيفية نقل هذا السلوك بصورة عملية.
Weak AI,ذكاء اصطناعي ضعيف - ذكاء اصطناعي ضيق,https://arabicglossary.dubaifuture.ae/ar/words/weak-ai,ذكاء اصطناعي يرجز على مهمة صغيرة محددة.
Game AI,ذكاء اصطناعي لُعبيّ,https://arabicglossary.dubaifuture.ae/ar/words/game-ai,ذكاء اصطناعي معني برسم مظاهر الذكاء، وخلق تجربة معيَّنة للناظِر، بدل العناية بخلق ذكاء حقيقي كما هو في البشر.
Autopilot,ربان آلي,https://arabicglossary.dubaifuture.ae/ar/words/autopilot,نظام يستخدم للتحكم في مسار الطائرات والسفن والمركبات الفضائية دون الحاجة إلى تحكم المشغل البشري المستمر فيها يدويًا. ولا يغني الربان الآلي عن المشغل البشري بل يساعده في التحكم في المركبات ما يمنحه إمكانية التركيز على عمليات أهم، مثل مراقبة المسار والطقس وأنظمة المركبة.
Supersonic flight,رحلات أسرع من الصوت,https://arabicglossary.dubaifuture.ae/ar/words/supersonic-flight,طائرة قادرة على الطيران بسرعة أعلى من سرعة الصوت.
Cartographers,رسامو الخرائط,https://arabicglossary.dubaifuture.ae/ar/words/cartographers,المتخصصون في رسم الخرائط.
QR Code (Quick Response Code),رمز الاستجابة السريعة,https://arabicglossary.dubaifuture.ae/ar/words/qr-code-quick-response-code,رمز الاستجابة الضوئي نمط رسومي بشكّل شيفرة تستطيع أجهزة القراءة التعرف عليها ضوئياً وهي تقود إلى صفحة تتضمن معلومات عن الشيء المرتبط بها، وقد يكون ذلك الشيء منتجاً أو موقعاً جغرافياً أو معرضاً أو أي شيء آخر.
Chatbot,روبوت الدردشة,https://arabicglossary.dubaifuture.ae/ar/words/chatbot,برنامج حاسوبي يجري محادثات مع الأشخاص عبر الإنترنت.
Humanoid Robots,روبوت شبه بشري,https://arabicglossary.dubaifuture.ae/ar/words/humanoid-robots,روبوت جسمه مصمَّم على شكل جسم الإنسان.
Robocops,روبوتات الشرطة,https://arabicglossary.dubaifuture.ae/ar/words/robocops,جهاز آلي قابل للبرمجة يتم التحكم فيه عن بعد قيد التطوير لاستخدامه في تطبيق القانون.
Microbotics,روبوتات صغرية,https://arabicglossary.dubaifuture.ae/ar/words/microbotics,تسمى أيضًا الروبوتات الدقيقة. وهو مجال الروبوتات المصغرة، وخاصة الروبوتات المتنقلة ذات الأبعاد التي تقل عن 1 مليمتر.
reCaptcha,ري كابتشا,https://arabicglossary.dubaifuture.ae/ar/words/recaptcha,تعتمد ري كابتشا على برنامج متطور لتحليل المخاطر وتوليد تحديات تفاعلية لمنع البرامج الخبيثة من التأثير بأنشطة مخربة على موقعك الإلكتروني. وهي تتيح في الوقت ذاته للمستخدمين القانونيين من تسجيل الدخول أو الشراء أو مشاهدة الصفحات أو إنشاء حسابات مع حظر المستخدمين المزيفين
Solar wind,رياح شمسية,https://arabicglossary.dubaifuture.ae/ar/words/solar-wind,التدفق المستمر للجسيمات المشحونة من الشمس والتي تنتشر في النظام الشمسي.
Space-time,زمكان,https://arabicglossary.dubaifuture.ae/ar/words/space-time,مبدأ يعتبر مفاهيم الزمن والفضاء ثلاثي الأبعاد مندمجة في سلسلة متصلة رباعية الأبعاد.
Website traffic,زيارات الموقع الإلكتروني,https://arabicglossary.dubaifuture.ae/ar/words/website-traffic,كمية البيانات التي يرسلها زوار الموقع الإلكتروني ويستقبلونها.
DatalogDatalog,سجل البيانات,https://arabicglossary.dubaifuture.ae/ar/words/datalogdatalog,لغة برمجة تستخدم في عمل قاعدة البيانات الاستدلالية
Public ledger,سجل حسابات عام,https://arabicglossary.dubaifuture.ae/ar/words/public-ledger,نظام لحفظ السجلات يحفظ هويات المشاركين في الشبكة وأرصدتهم من العملات المعماة وسجلًا لجميع المعاملات الحقيقية المنفذة بينهم بصورة آمنة وشبه مجهولة.
Oort Cloud,سحابة أورط (سحابة تحيط بالمجموعة الشمسية),https://arabicglossary.dubaifuture.ae/ar/words/oort-cloud,سحابة نظرية معظمها من الكواكب الصغيرة الجليدية، تحيط بالشمس على مسافات تتراوح من ألفي إلى 200 ألف وحدة فلكية.
Speed of Light,سرعة الضوء,https://arabicglossary.dubaifuture.ae/ar/words/speed-of-light,يُشار إليها عادةً بحرف سي، وهو ثابت مادي عالمي مهم في العديد من مجالات الفيزياء. تُعرف قيمته الدقيقة بأنها 299792458 مترًا في الثانية.
Cell line,سلالة خلوية,https://arabicglossary.dubaifuture.ae/ar/words/cell-line,زرعة خلوية تختار لتكوين خلايا مشتقة من نسيج واحد مثل أنسجة الأعضاء.
Forward chaining,سَلسلة مستقبلية,https://arabicglossary.dubaifuture.ae/ar/words/forward-chaining,السلسلة المستقبلية في الذكاء الاصطناعي تشير إلى سيناريو يزود فيه الذكاء الاصطناعي بمشكلة محددة لحلها. ولتنفيذ ذلك ينظر الذكاء الاصطناعي إلى الوراء لتحديد القواعد التي يجب استخدامها.
Swarm behavior/intelligence,سلوك السرب/ ذكاء السرب,https://arabicglossary.dubaifuture.ae/ar/words/swarm-behavior-intelligence,السلوك الجماعي للنظم اللامركزية ذاتية الانتظام، سواءً كانت طبيعية أم اصطناعية
Vehicle-to-Infrastructure,سيارة متصلة بالبنية التحتية,https://arabicglossary.dubaifuture.ae/ar/words/vehicle-to-infrastructure,تبادل البيانات لاسلكيًا بين المركبات والبنية التحتية للطرق.
Retina display,شاشة عرض رتينا,https://arabicglossary.dubaifuture.ae/ar/words/retina-display,علامة تجارية تملكها شركة آبل وتستخدمها في سلسلة منتجاتها من شاشات العرض البلوري السائل وشاشات الصمامات الثنائية الباعثة للضوء والتي تحتوي على كثافة أعلى من البكسلات مقارنة بشاشات شركة آبل التقليدية
VPN (Virtual Private Network),شبكة خاصة افتراضية,https://arabicglossary.dubaifuture.ae/ar/words/vpn,هي امتداد للشبكة الخاصة عبر الشبكة العامة فتساعد المستخدمين على إرسال البيانات واستقبالها عبر الشبكات المشتركة أو العامة وتبدو حواسيبهم كأنها متصلة مباشرة بالشبكة الخاصة
Semantic network,شبكة دلالية,https://arabicglossary.dubaifuture.ae/ar/words/semantic-network,هي قاعدة معرفية تمثل العلاقات الدلالية بين المفاهيم في الشبكة، وغالبًا ما تُستخدم كشكل من أشكال تمثيل المعرفة.
Brainet,شبكة دماغية,https://arabicglossary.dubaifuture.ae/ar/words/brainetbrainet,اتصال بين أدمغة أكثر من شخص بصورةٍ غير باضعة للتعاون في حل المشكلة. وتتكون هذه الواجهة من جهاز رسم كهرباء الدماغ لتسجيل إشاراته وتحفيز كهرومغناطيسي عبر الجمجمة لنقل المعلومات إلى الدماغ. وتمنح الواجهة ثلاثة أشخاص فرصة التعاون معًا لحل مشكلة عبر الاتصال الدماغي المباشر.
Neural network,شبكة عصبونية,https://arabicglossary.dubaifuture.ae/ar/words/neural-network,سلسلة من الخوارزميات التي تهدف إلى تعريف العلاقات الأساسية في مجموعة من البيانات بعملية تحاكي الطريقة التي يعمل بها الدماغ البشري.
Recurrent Neural Network (RNN),شبكة عصبونية متكررة,https://arabicglossary.dubaifuture.ae/ar/words/recurrent-neural-network,فئة من الشبكات العصبونية الاصطناعية، تشكل فيها الروابط بين العقد رسمًا بيانيًا موجهًا على امتداد تسلسل زمني.
Spiking neural network,شبكة عصبونية مثارة بالذبذبات,https://arabicglossary.dubaifuture.ae/ar/words/spiking-neural-network,هي شبكات عصبية اصطناعية تحاكي بشكل وثيق الشبكات العصبية الطبيعية.
Behavior tree,شجرة السلوك,https://arabicglossary.dubaifuture.ae/ar/words/behavior-tree,نموذج رياضي لتنفيذ الخطط، ويستخدم في علوم الحاسوب والروبوتات وأنظمة التحكم وألعاب الفيديو. ويصف التبديل بين مجموعة محدودة من المهام بطريقةٍ معيارية. ويستطيع إنشاء مهام صعبة باستخدام مهام بسيطة.
Decision tree,شجرة القرارات,https://arabicglossary.dubaifuture.ae/ar/words/decision-tree,رسم لشجرة يستخدم في عملية اتخاذ القرارات في الشركات أو البرامج الحاسوبية. وتمثل فروع الشجرة الخيارات وما يرتبط بها من مخاطر وتكاليف ونتائج واحتمالات.
Issue trees,شجرة المشكلات,https://arabicglossary.dubaifuture.ae/ar/words/issue-trees,رسم تفصيلي للسؤال يقسمه رأسيًا إلى مكوناته المختلفة وبعد ذلك يمتد إلى التفاصيل. وتساعد هذه الشجرة في حل المشكلات لأنها تظهر جذورها بالإضافة إلى أنها تقدم الحلول. وتقدم أيضًا نقطة مرجعية لمعرفة مدى ملائمة كل جزء للصورة الكاملة للمشكلة.
Monte Carlo tree search,شجرة بحث مونت كارلو,https://arabicglossary.dubaifuture.ae/ar/words/monte-carlo-tree-search,خوارزمية بحث إرشادية لبعض أنواع عمليات اتخاذ القرار، وخاصة المستخدمة في البرمجيات التي تلعب ألعاب الطاولة. تُستخدم شجرة بحث مونت كارلو في هذا السياق لحل شجرة اللعبة.
Binary tree,شجرة ثنائية,https://arabicglossary.dubaifuture.ae/ar/words/binary-tree,تتكون من عقدتين يمنى ويسرى وعنصر من البيانات. وتسمى العقدة العليا في الشجرة عقدة الجذر، ويتجه المؤشران الأيمن والأيسر نحو أشجار أصغر على الجانبين. وتستخدم الأشجار الثنائية لتنفيذ عمليات بحث ثنائي بالإضافة إلى تصنيف البيانات.
Solar sail,شراع شمسي,https://arabicglossary.dubaifuture.ae/ar/words/solar-sail,سطح عاكس مصمم لاستخدام ضغط الإشعاع الشمسي لدفع مركبة فضائية.
Termination shock,صدمة النهاية,https://arabicglossary.dubaifuture.ae/ar/words/termination-shock,أحد الحدود الخارجية لتأثير الشمس، وهي أحد حدود المجموعة الشمسية. وتتباطأ عنده فقاعة جسيمات الرياح الشمسية فتتحرك بسرعة أبطأ من سرعة الصوت.
Cascading Style Sheets (CSS),صفحات الأنماط المتتالية,https://arabicglossary.dubaifuture.ae/ar/words/css-cascading-style-sheets,تستخدم لتنسيق صفحات المواقع الإلكترونية.
3D retinal sheets,صفيحات شبكية ثلاثية الأبعاد,https://arabicglossary.dubaifuture.ae/ar/words/3d-retinal-sheets,
Black box,صندوق أسود,https://arabicglossary.dubaifuture.ae/ar/words/black-box,جهاز أو نظام أو جسم معتم يمكن مراقبة مدخلاته ومخرجاته دون معرفة آلية عمله الداخلية. ويمكن إطلاق صفة جسم أسود على أي شيء، مثل المحرك والترانزستور والدماغ والحكومة.
Smart Bandages,ضمادات ذكية,https://arabicglossary.dubaifuture.ae/ar/words/smart-bandages,ضماد للجروح مزود بتقنية إضافية لقياس تقدم التئام الجروح وتوزيع الأدوية وتحميل البيانات المتعلقة بعملية الشفاء.
Drone,طائرة دون طيار,https://arabicglossary.dubaifuture.ae/ar/words/drone,طائرة لا يقودها طيار توجه عن بعد أو تطير بالاعتماد على القيادة الذاتية أو تبرمج مسبقًا للطيران في مسار محدد.
Unmanned Aerial Vehicle,طائرة مسيرة,https://arabicglossary.dubaifuture.ae/ar/words/unmanned-aerial-vehicle,طائرة مسيرة تطير دون وجود طيار بشري على متنها.
Bioprinting,طباعة حيوية,https://arabicglossary.dubaifuture.ae/ar/words/bioprinting,استخدام الطباعة ثلاثية الأبعاد لإنتاج أنسجة، من الخلايا الحية، لاستخدامها في الجراحات الترميمية.
Delphi Method,طريقة دلفي,https://arabicglossary.dubaifuture.ae/ar/words/delphi-method,طريقة دلفي تهدف إلى التحقق من الآراء والتصورات والمعلومات والرؤى من خلال مشاركة الخبراء في استطلاعات الرأي.
Space weather,طقس فضائي,https://arabicglossary.dubaifuture.ae/ar/words/space-weather,هو فرع من فيزياء الفضاء وعلم الطيران أو الفيزياء الشمسية ويهتم بالظروف الزمنية المتغيرة داخل النظام الشمسي، بما في ذلك الرياح الشمسية مع التركيز على الفضاء المحيط بالأرض، بما في ذلك الظروف في الغلاف المغناطيسي والغلاف الإيوني والغلاف الحراري والغلاف الخارجي.
Misfolded Proteins (Protein Folding),طوي البروتين,https://arabicglossary.dubaifuture.ae/ar/words/misfolded-proteins,العملية الفيزيائية التي تكتسب من خلالها سلسلة بروتين هيكلها الطبيعي ثلاثي الأبعاد، وهو شكل حيوي وظيفي، بطريقة سريعة وقابلة للتكرار.
Spectroscopic,طيفي,https://arabicglossary.dubaifuture.ae/ar/words/spectroscopic,جهاز بصري لإنتاج ومراقبة طيف من الضوء أو الإشعاع من أي مصدر ويتكون بشكل أساسي من شق يمر من خلاله الإشعاع وعدسة موجه وموشور.
ChronobiologistChronobiologist,عالم الأحياء الزمنية,https://arabicglossary.dubaifuture.ae/ar/words/chronobiologistchronobiologist,العالم الذي يدرس الإيقاعات الحيوية
Climatology,عالم المناخ,https://arabicglossary.dubaifuture.ae/ar/words/climatology,خبير في الدراسة العلمية للمناخ.
Confounding factor,عامل الإرباك,https://arabicglossary.dubaifuture.ae/ar/words/confounding-factor,تسمى أيضًا المتغيرات المربكة وتشر إلى متغير ثالث لم يقاس ويؤثر على السبب والقيمة المفترضين.
Branching factor,عامل التفرع,https://arabicglossary.dubaifuture.ae/ar/words/branching-factor,مصطلح في علوم الحاسوب وهياكل شجرة البيانات ونظرية الألعاب. ويشير إلى عدد العقد الصغيرة داخل العقدة. وإن كانت القيمة غير ثابتة يمكن حساب متوسط عامل التفرع.
Catalyst,عامل حفاز,https://arabicglossary.dubaifuture.ae/ar/words/catalyst,مادة تحفز التفاعل الكيميائي في ظروف مختلفة عن الظروف التقليدية وتزيد سرعته
Futures wheel,عجلة المستقبل,https://arabicglossary.dubaifuture.ae/ar/words/futures-wheel,عجلة المستقبل هي أداة بصريّة توفر لنا طريقة منظمة أكثر للتفكير في العواقب المباشرة وغير المباشرة للأحداث المحفزة.
Gear VR,عدة الواقع الافتراضي,https://arabicglossary.dubaifuture.ae/ar/words/gear-vr,خوذة واقع افتراضي
VR Headset,عدة الواقع الافتراضي,https://arabicglossary.dubaifuture.ae/ar/words/vr-headset,جهاز يثبت على الرأس كي يشاهد مستخدمه الواقع الافتراضي
Data visualization,عرض البيانات,https://arabicglossary.dubaifuture.ae/ar/words/data-visualization,عرض البيانات والمعلومات في صورة رسوم
Bugs,عطب برمجي,https://arabicglossary.dubaifuture.ae/ar/words/bugs,خطأ في برنامج أو نظام حاسوبي
Spin-based electronics,علم إلكترونات دورانية,https://arabicglossary.dubaifuture.ae/ar/words/spin-based-electronics,يهتم بدراسة الدوران الداخلي للإلكترون والعزم المغناطيسي المرتبط به، بالإضافة إلى شحنته الإلكترونية الأساسية في أجهزة الحالة الصلبة.
Embryology,علم الأجنة,https://arabicglossary.dubaifuture.ae/ar/words/embryology,فرع من علم الأحياء يدرس الأجنة وتطورها
Synthetic biology,علم الأحياء التركيبي,https://arabicglossary.dubaifuture.ae/ar/words/synthetic-biology,هي مجال بحثي متعدد التخصصات يسعى إلى إنشاء أجزاء وأجهزة وأنظمة بيولوجية جديدة أو إعادة تصميم الأنظمة الموجودة في الطبيعة. ويعني علم الأحياء التركيبي إعادة تصميم الكائنات الحية والجزيئات أو إعادة هندستها لمنحها خصائص جديدة، على غرار الإنزيمات الصنعية التي تستطيع هضم البلاستيك.
Chronobiology,علم الأحياء الزمنية,https://arabicglossary.dubaifuture.ae/ar/words/chronobiology,دراسة الإيقاعات الحيوية.
Computational neuroscience,علم الأعصاب الحوسبي,https://arabicglossary.dubaifuture.ae/ar/words/computational-neuroscience,مجال يهدف إلى تطوير نماذج ونظريات متعددة المراحل للوظائف العصبية ومحاكاتها وتحليلها، وتتضمن هذه النماذج جميع المستويات بداية من الجزيئات عبر الخلايا والشبكات وحتى الإدراك والسلوك.
Optogenetics,علم البصريات الوراثي,https://arabicglossary.dubaifuture.ae/ar/words/optogenetics,تقنية حيوية تتضمن استخدام الضوء للتحكم بالخلايا العصبية المعدلة وراثيًا للتعبير عن القنوات الأيونية الحساسة للضوء.
Data Science,علم البيانات,https://arabicglossary.dubaifuture.ae/ar/words/data-science,العلم الذي يدمج الخبرة ومهارات البرمجة والمعرفة بالرياضيات والإحصاء لاستخلاص أفكار ذات معنى من البيانات.
Genomics,علم الجينوم,https://arabicglossary.dubaifuture.ae/ar/words/genomics,علم الجينوم هو مجال متعدد التخصصات في علم الأحياء يركز على تركيب الجينوم ووظيفته وتطوره ويرسم خرائط له، ويشمل تقنيات تعديله أيضًا. والجينوم مجموعة كاملة من الحمض النووي للكائن الحي، تتضمن جميع مورثاته.
Theoretical computer science,علم الحاسوب النظري,https://arabicglossary.dubaifuture.ae/ar/words/theoretical-computer-science,فرع من علم الحاسوب العام والرياضيات يركز على الجوانب الرياضية لعلم الحاسوب مثل تكامل لامدا ونظرية النوع.
Conservation Biology,علم الحفظ الحيوي,https://arabicglossary.dubaifuture.ae/ar/words/conservation-biology,علم يهدف إلى معالجة فقدان التنوع الحيوي. ويقيم التأثيرات البشرية على التنوع الحيوي ويطور خطط عملية لمنع انقراض الأنواع.
Semantics,علم الدلالة الصوري,https://arabicglossary.dubaifuture.ae/ar/words/semantics,فرع اللغويات والمنطق الذي يهتم بالمعنى. المجالان الرئيسيان لهذا العلم هما الدلالات المنطقية التي تهتم بأمور مثل المعنى والمرجع والافتراض والتضمين والدلالات المعجمية التي تهتم بتحليل معاني الكلمات والعلاقات بينها.
Cloud Robotics,علم الروبوتات السحابي,https://arabicglossary.dubaifuture.ae/ar/words/cloud-robotics,جزء من علم الروبوتات يستخدم الحوسبة السحابية لتعزيز قوة الروبوتات.
Developmental robotics,علم الروبوتات النمائي,https://arabicglossary.dubaifuture.ae/ar/words/developmental-robotics,نهج متعدد التخصصات لتطوير الروبوتات من خلال استلهام أساسيات النمو المعرفي لدى الأطفال.
Molecular gastronomy,علم الطهي الجزيئي,https://arabicglossary.dubaifuture.ae/ar/words/molecular-gastronomy,تطبيق المبادئ العلمية لفهم عملية تحضير الطعام وتطويرها.
Microfluidics,علم الموائع الدقيقة,https://arabicglossary.dubaifuture.ae/ar/words/microfluidics,دراسة سلوك السوائل المقيدة هندسيًا بمقياس صغير (أقل من مليمتر عادةً)، تهيمن فيه قوى السطح على القوى الحجمية، والتحكم الدقيق بها والتعامل معها.
Half-life,عمر النصف,https://arabicglossary.dubaifuture.ae/ar/words/half-life,الفترة اللازمة لتقل كمية إلى نصف الأصل. ويُستعمل المصطلح عادة في الفيزياء النووية، لوصف مدى سرعة مرور الذرات غير المستقرة بمرحلة الانحلال الإشعاعي، أو مدى مقاومة الذرات المستقرة لذلك الانحلال.
